annotator,updated_at,annotation_id,sentiment,retweet_count,text,like_count,Unnamed: 0,lead_time,created_at,id,username
1,2023-02-27T05:41:34.722592Z,1038,Neutral,0,@arprodhite @18fesss Ya kalo dia main ml jga, klo ga main gimana dong reportnya😭,0,14,1.328,2023-02-27T05:41:34.722592Z,1215,GajahDu69356383
1,2023-02-27T05:41:39.191795Z,1039,Negative,0,@18fesss Lu mati aja,0,15,1.58,2023-02-27T05:41:35.955126Z,1216,GajahDu69356383
1,2023-02-27T05:41:44.696989Z,1040,Negative,0,@18fesss Lu pacaran aja udah dosa, tolol ajg,0,16,3.405,2023-02-27T05:41:44.696989Z,1217,GajahDu69356383
1,2023-02-27T05:41:46.269255Z,1041,Negative,0,@sosmedkeras Ini konsep nya gimana 😄strees ajg,0,17,1.327,2023-02-27T05:41:46.269255Z,1218,GajahDu69356383
1,2023-02-27T05:41:47.955256Z,1042,Neutral,0,@halajulqulub @DhannyDraven @kegblgnunfaedh Ini pas gw kelas 1 SD😄🙏,0,18,1.389,2023-02-27T05:41:47.950242Z,1219,GajahDu69356383
1,2023-02-27T05:41:49.260266Z,1043,Neutral,0,@jawashitpost Judul,0,19,1.055,2023-02-27T05:41:49.260266Z,1220,GajahDu69356383
1,2023-02-27T05:41:51.221852Z,1044,Negative,0,@18fesss Cba lhat jga dong miss v kamu,0,20,1.717,2023-02-27T05:41:51.221852Z,1221,GajahDu69356383
1,2023-02-27T05:41:52.966455Z,1045,Negative,0,@18fesss Masalah memek doang ribet,0,21,1.473,2023-02-27T05:41:52.966455Z,1222,GajahDu69356383
1,2023-02-27T05:41:57.026744Z,1046,Neutral,0,@tanyarlfes Dikira hujan bisa di tentuin? Pake ditanyain segala,0,22,3.681,2023-02-27T05:41:57.026744Z,1223,GajahDu69356383
1,2023-02-27T05:42:03.624978Z,1047,Neutral,0,@numberrs_ @zeyyysssssss @idextratime Kim Nal Do,0,23,5.437,2023-02-27T05:42:03.624978Z,1224,GajahDu69356383
1,2023-02-27T05:42:07.272792Z,1048,Neutral,0,@Askrlfess Solat,0,24,1.411,2023-02-27T05:42:07.272792Z,1225,GajahDu69356383
1,2023-02-27T05:42:12.248381Z,1049,Neutral,0,@tanyarlfes Fearless mna,0,25,1.62,2023-02-27T05:42:12.248381Z,1226,GajahDu69356383
1,2023-02-27T05:43:06.841105Z,1050,Neutral,0,@sbyfess O,0,26,52.498,2023-02-27T05:43:06.841105Z,1227,GajahDu69356383
1,2023-02-27T05:43:08.403566Z,1051,Negative,0,@kegblgnunfaedh LAWAK LU KONTOL,0,27,1.14,2023-02-27T05:43:08.403566Z,1228,GajahDu69356383
1,2023-02-27T05:43:11.076251Z,1052,Neutral,0,@kegblgnunfaedh Kyak valak,0,28,2.281,2023-02-27T05:43:11.076251Z,1229,GajahDu69356383
1,2023-02-27T05:43:12.111788Z,1053,Negative,5344,RT @moviemenfes: mvs 18+ 🔞🔞🔞
let's drop 👇🏻 https://t.co/iv3wBLLqjP,0,29,0.705,2023-02-27T05:43:12.111788Z,1230,GajahDu69356383
1,2023-02-27T05:43:14.000381Z,1054,Neutral,0,@recehtapisayng Rica rica,0,30,1.577,2023-02-27T05:43:14.000381Z,1231,GajahDu69356383
1,2023-02-27T05:43:15.801084Z,1055,Neutral,0,@convomfs Ngepngep,0,31,1.486,2023-02-27T05:43:15.801084Z,1232,GajahDu69356383
1,2023-02-27T05:43:17.017425Z,1056,Negative,0,@sbyfess Mati o ae, kn goblok gak guna bangsat anjing.,0,32,0.896,2023-02-27T05:43:17.017425Z,1233,GajahDu69356383
1,2023-02-27T05:43:18.161527Z,1057,Negative,0,@convomfs https://t.co/dTTti2SDbi,0,33,0.85,2023-02-27T05:43:18.161527Z,1234,GajahDu69356383
1,2023-02-27T05:43:23.887066Z,1058,Positive,21493,RT @riyansupyans: gua sumpahin 2023 lu sukses dan banyak duit.,0,34,5.328,2023-02-27T05:43:23.887066Z,1235,GajahDu69356383
1,2023-02-27T05:43:25.901269Z,1059,Neutral,0,@kegblgnunfaedh Emang begadang harus selalu chattan?,0,35,1.682,2023-02-27T05:43:25.901269Z,1236,GajahDu69356383
1,2023-02-27T05:43:27.225695Z,1060,Negative,0,@sipalingjuara @DonquixoteM1ngo @Frenkenbauer @idextratime 😛😛😛 https://t.co/dbGGnKve5H,0,36,1.025,2023-02-27T05:43:27.225695Z,1237,GajahDu69356383
1,2023-02-27T05:43:28.381432Z,1061,Negative,1030,RT @tanyarlfes: 💚 T I T I P A N https://t.co/fraiWe8cW3,0,37,0.871,2023-02-27T05:43:28.381432Z,1238,GajahDu69356383
1,2023-02-27T05:43:30.861077Z,1062,Neutral,0,@yudie_setya @otongkoil Ini mah udh ga waras,0,38,2.106,2023-02-27T05:43:30.861077Z,1239,GajahDu69356383
1,2023-02-27T05:43:32.640404Z,1063,Negative,0,@sbyfess Pacaran nabung duso dibelo mati2an, pas wong tuwo e njalok tukokno lombok ae sambat. Kontol,0,39,1.355,2023-02-27T05:43:32.640404Z,1240,GajahDu69356383
1,2023-02-27T05:43:34.426269Z,1064,Neutral,0,@sbyfess Males,0,40,1.418,2023-02-27T05:43:34.426269Z,1241,GajahDu69356383
1,2023-02-27T05:43:36.052673Z,1065,Negative,0,@infotwitwor_ Mahasiswa sekarang tolol semua, goblok. Gaada otak.,0,41,1.21,2023-02-27T05:43:36.052673Z,1242,GajahDu69356383
1,2023-02-27T05:43:51.292298Z,1066,Negative,0,@sbyfess Ws ero pacaran duso dilakoni ae, mlah nabung duso. Katek dipamer2no pisan, bangga ta ngunu kui?,0,42,14.867,2023-02-27T05:43:51.292298Z,1243,GajahDu69356383
1,2023-02-27T05:43:56.511347Z,1067,Neutral,0,@partisangambia Kgak ada gunanya, lu jga gaada untungnya buat dia.,0,43,4.747,2023-02-27T05:43:56.511347Z,1244,GajahDu69356383
1,2023-02-27T05:43:58.851404Z,1068,Negative,0,@fradikkk89 @Farid_andsyah @idextratime Trus apa masalah nya sama lu blok. Menang ya menang, kalah ya kalah. Banyak bacot.,0,44,2.003,2023-02-27T05:43:58.851404Z,1245,GajahDu69356383
1,2023-02-27T05:44:00.136980Z,1069,Negative,0,@convomfs Ancen kn ae seng tolol, goblk,0,45,0.922,2023-02-27T05:44:00.136980Z,1246,GajahDu69356383
1,2023-02-27T05:44:01.881715Z,1070,Neutral,0,@convomfs Woman ☕,0,46,1.421,2023-02-27T05:44:01.881715Z,1247,GajahDu69356383
1,2023-02-27T05:44:03.014698Z,1071,Negative,0,@modegila Tolol anying,0,47,0.825,2023-02-27T05:44:03.014698Z,1248,GajahDu69356383
1,2023-02-27T05:44:06.631485Z,1072,Neutral,0,@Radiyo37 @AlayTwips @sbyfess Di kill nya gimana bang, pake apa, apakah sama di bakar?,0,48,3.309,2023-02-27T05:44:06.631485Z,1249,GajahDu69356383
1,2023-02-27T05:44:13.771335Z,1073,Neutral,0,@AlayTwips @nisriisme @sbyfess Ada vid nya gak,1,49,6.814,2023-02-27T05:44:13.771335Z,1250,GajahDu69356383
1,2023-02-27T05:44:15.141233Z,1074,Negative,0,@mlbbfess Goblk gtu doang sange,0,50,0.944,2023-02-27T05:44:15.141233Z,1251,GajahDu69356383
1,2023-02-27T05:44:16.708804Z,1075,Negative,0,@KucengTerbanggg Di panggil almarhum,0,51,1.278,2023-02-27T05:44:16.708804Z,1252,GajahDu69356383
1,2023-02-27T05:44:18.131211Z,1076,Neutral,0,@tanyarlfes Ga ada grup kluarga,0,52,1.143,2023-02-27T05:44:18.131211Z,1253,GajahDu69356383
1,2023-02-27T05:44:19.191139Z,1077,Negative,150,RT @idextratime: 😍🥰🇭🇷 https://t.co/9lpzYe7XQt,0,53,0.769,2023-02-27T05:44:19.191139Z,1254,GajahDu69356383
1,2023-02-27T05:44:21.433469Z,1078,Neutral,0,@mlbbfess Hero pool luas lah,0,54,1.96,2023-02-27T05:44:21.433469Z,1255,GajahDu69356383
1,2023-02-27T05:44:24.475495Z,1079,Neutral,0,@idextratime Namanya jga bek tuas ep ceh,0,55,2.734,2023-02-27T05:44:24.475495Z,1256,GajahDu69356383
1,2023-02-27T05:44:26.974145Z,1080,Neutral,0,@terong_baladoo @infotwitwor_ Ya gabakal di notice , harus pake akun anon baru dlu. Klau pake akun asli mah dia mikir2,0,56,2.124,2023-02-27T05:44:26.974145Z,1257,GajahDu69356383
1,2023-02-27T05:44:28.831898Z,1081,Neutral,0,@dumbassnerdie @Kiukii12 @terong_baladoo @infotwitwor_ Boleh jga nih bang sarannya, @SuperSanji66,0,57,1.552,2023-02-27T05:44:28.831898Z,1258,GajahDu69356383
1,2023-02-27T05:44:30.374932Z,1082,Neutral,0,@irfanzd @Kiukii12 @terong_baladoo @infotwitwor_ @SuperSanji66 Seharusnya suruh ganti pp dlu sebelum ngajak jepri, biar di Terima😂😂😂,0,58,1.222,2023-02-27T05:44:30.374932Z,1259,GajahDu69356383
1,2023-02-27T05:44:31.991383Z,1083,Neutral,0,@wong_jago @Kenzscape @jefrinichol Klo ada vid nya tag bang,0,59,1.336,2023-02-27T05:44:31.991383Z,1260,GajahDu69356383
1,2023-02-27T05:44:33.291288Z,1084,Neutral,0,@SuperSanji66 ANKAARAAA MESSI,0,60,1.014,2023-02-27T05:44:33.291288Z,1261,GajahDu69356383
1,2023-02-27T05:44:34.421214Z,1085,Neutral,0,@Kiukii12 @terong_baladoo @infotwitwor_ Di twit mana cok bagi lah mau lhat jga😂,0,61,0.832,2023-02-27T05:44:34.421214Z,1262,GajahDu69356383
1,2023-02-27T05:44:36.061524Z,1086,Neutral,0,@sbyfess Podo kyok aku mbak kejadian e, cma aku 6 taun wsan,0,62,1.202,2023-02-27T05:44:36.061524Z,1263,GajahDu69356383
1,2023-02-27T05:44:38.356295Z,1087,Negative,0,@bayuzakariaaa @Onew_telororen @tanyarlfes Bsa jdi jembut nya di lilit ke tytyd,0,63,1.841,2023-02-27T05:44:38.356295Z,1264,GajahDu69356383
1,2023-02-27T05:44:39.711565Z,1088,Neutral,0,@infotwitwor_ 😱,0,64,1.039,2023-02-27T05:44:39.711565Z,1265,GajahDu69356383
1,2023-02-27T05:44:41.051537Z,1089,Negative,0,@Utheputra Gausah sok tau lu anjing, pake ngaku2 sahabat. Sahabat kontol,0,65,0.922,2023-02-27T05:44:41.051537Z,1266,GajahDu69356383
1,2023-02-27T05:44:42.018385Z,1090,Negative,75,RT @infotwitwor_: Yang lagi rame. https://t.co/s8Yp8WXi7D,0,66,0.63,2023-02-27T05:44:42.018385Z,1267,GajahDu69356383
1,2023-02-27T05:44:42.881458Z,1091,Negative,797,RT @infotwitwor_: Kian memanas. https://t.co/DgVj2JQqg6,0,67,0.564,2023-02-27T05:44:42.881458Z,1268,GajahDu69356383
1,2023-02-27T05:44:43.751538Z,1092,Negative,3122,RT @infotwitwor_: Update pergelutan Jefri vs Netizen https://t.co/QZgNZHbhyz,0,68,0.552,2023-02-27T05:44:43.751538Z,1269,GajahDu69356383
1,2023-02-27T05:44:45.708209Z,1093,Negative,0,@noray_blanco @realmadridindo1 Penyepong dodo kali. Gagal penalti mah dah biasa bagi tiap pemain,0,69,1.627,2023-02-27T05:44:45.708209Z,1270,GajahDu69356383
1,2023-02-27T05:44:50.549185Z,1094,Neutral,0,@tanyarlfes Serah lu aja dah, mls. Ujung2nua jga gabakal lu ngikutin saran.,0,70,4.424,2023-02-27T05:44:50.549185Z,1271,GajahDu69356383
1,2023-02-27T05:44:52.203291Z,1095,Neutral,0,@gagunabngsd @1rubyren @mlbbfess Iya mereka sama2 aja kek lu, gaada bedanya.,0,71,1.257,2023-02-27T05:44:52.203291Z,1272,GajahDu69356383
1,2023-02-27T05:44:54.461550Z,1096,Neutral,0,@gagunabngsd @1rubyren @mlbbfess Lu klo ga paham, pahami dlu dah dri pda malu. Pake ngatain opini dia jelek.,0,72,1.908,2023-02-27T05:44:54.461550Z,1273,GajahDu69356383
1,2023-02-27T05:44:56.581252Z,1097,Negative,0,@gagunabngsd @1rubyren @mlbbfess Apaan cba apaan🤣
"Lgiin ikinnyi gik gimbikin, silih kli gii stilking" 
Ibarat lu t… https://t.co/MFp3mqG3nV,0,73,1.801,2023-02-27T05:44:56.581252Z,1274,GajahDu69356383
1,2023-02-27T05:44:58.271733Z,1098,Neutral,0,@1rubyren @gagunabngsd @mlbbfess Begitu bang woman, merasa dirinya paling bagus,0,74,1.323,2023-02-27T05:44:58.271733Z,1275,GajahDu69356383
1,2023-02-27T05:44:59.481208Z,1099,Neutral,0,@gagunabngsd @1rubyren @mlbbfess Sipaling bagus otaknya🤣,0,75,0.903,2023-02-27T05:44:59.481208Z,1276,GajahDu69356383
1,2023-02-27T05:45:00.551401Z,1100,Neutral,0,@gagunabngsd @mlbbfess Yg blang gtu siapa dah🤣,0,76,0.748,2023-02-27T05:45:00.551401Z,1277,GajahDu69356383
1,2023-02-27T05:45:01.720089Z,1101,Neutral,0,@gagunabngsd @mlbbfess Banyak lah, cma lu aja gatau🤣🤣🤣
Klo ga gtu knp penghuni neraka lebih bnyak cewenya?,1,77,0.842,2023-02-27T05:45:01.720089Z,1278,GajahDu69356383
1,2023-02-27T05:45:02.691264Z,1102,Neutral,0,@tanyarlfes Babi🤣,0,78,0.687,2023-02-27T05:45:02.691264Z,1279,GajahDu69356383
1,2023-02-27T05:45:03.791298Z,1103,Neutral,0,@gagunabngsd @mlbbfess Dikira cewe ga suka? 🤣🤣🤣🤣munafik,0,79,0.796,2023-02-27T05:45:03.791298Z,1280,GajahDu69356383
1,2023-02-27T05:45:05.096311Z,1104,Negative,809,RT @yellowcamelcigg: @sugarcandyblue @mlbbfess https://t.co/tkRd1UB1gP,0,80,1.007,2023-02-27T05:45:05.096311Z,1281,GajahDu69356383
1,2023-02-27T05:45:06.251264Z,1105,Neutral,0,@gagunabngsd @mlbbfess Woman☕,2,81,0.791,2023-02-27T05:45:06.251264Z,1282,GajahDu69356383
1,2023-02-27T05:45:07.181141Z,1106,Negative,125,RT @idextratime: https://t.co/LxsZs2a9UC,0,82,0.625,2023-02-27T05:45:07.181141Z,1283,GajahDu69356383
1,2023-02-27T05:45:09.371399Z,1107,Neutral,0,@Syachrendra28 @inumakip @tanyarlfes Kebutuhan jga kebutuhan, tpi lhat kondisi jga blok. Musibah mikir ngewe. Msih baik gak mati.,0,83,1.886,2023-02-27T05:45:09.371399Z,1284,GajahDu69356383
1,2023-02-27T05:45:10.656440Z,1108,Negative,0,@bobbyanggaras @gemsxlaa @Syachrendra28 @inumakip @tanyarlfes Itu mah lu otak selangkangan, kena musibah bukannya m… https://t.co/rXkTTuFPP5,40,84,0.982,2023-02-27T05:45:10.656440Z,1285,GajahDu69356383
1,2023-02-27T05:45:12.381706Z,1109,Neutral,0,@FWBSmg P,0,85,1.41,2023-02-27T05:45:12.381706Z,1286,GajahDu69356383
1,2023-02-27T05:45:13.728730Z,1110,Neutral,0,@tanyarlfes Lah baru tau? Cewe kan emg gtu 🤓🤣🤣🤣,0,86,1.039,2023-02-27T05:45:13.728730Z,1287,GajahDu69356383
1,2023-02-27T05:45:14.892248Z,1111,Neutral,0,@rismadwip @idextratime @gastonedul Aff Iyyh 🤓,0,87,0.889,2023-02-27T05:45:14.892248Z,1288,GajahDu69356383
1,2023-02-27T05:45:15.865568Z,1112,Neutral,0,@irelreli @idextratime @gastonedul Aff Iyyh🤓🤓,0,88,0.664,2023-02-27T05:45:15.865568Z,1289,GajahDu69356383
1,2023-02-27T05:45:16.839551Z,1113,Neutral,0,@Adji_sun @idextratime @gastonedul 2-0 neh🤓,0,89,0.555,2023-02-27T05:45:16.839551Z,1290,GajahDu69356383
1,2023-02-27T05:45:17.960428Z,1114,Neutral,0,@AlanShearer778 @idextratime @gastonedul Affh iyh kidz🤓,0,90,0.749,2023-02-27T05:45:17.960428Z,1291,GajahDu69356383
1,2023-02-27T05:45:18.941434Z,1115,Neutral,0,@idextratime Affh iyh dodogy pens?,0,91,0.648,2023-02-27T05:45:18.941434Z,1292,GajahDu69356383
1,2023-02-27T05:45:21.300517Z,1116,Neutral,0,@sbyfess Penak langsung rabi, timbang pacar2an nabung duso,0,92,2.027,2023-02-27T05:45:21.300517Z,1293,GajahDu69356383
1,2023-02-27T05:45:22.506324Z,1117,Neutral,0,@sbyfess Minimal ksih tau,0,93,0.781,2023-02-27T05:45:22.506324Z,1294,GajahDu69356383
1,2023-02-27T05:45:24.056544Z,1118,Negative,0,@clevereonjwin @convomfs Itu mah lu cma dibuat cadangan. N klau misal dah putus sma yg pertama, pasti ke lu. Dan kl… https://t.co/cPSDSKFusr,0,94,1.197,2023-02-27T05:45:24.056544Z,1295,GajahDu69356383
1,2023-02-27T05:45:25.441410Z,1119,Neutral,0,@selvywitri @ankcoconut @tanyarlfes Ko kira wortel?,0,95,1.048,2023-02-27T05:45:25.441410Z,1296,GajahDu69356383
1,2023-02-27T05:45:28.235788Z,1120,Neutral,0,@tanyarlfes Klo gw si gak. Mlah buat gosip2an ntar,0,96,1.773,2023-02-27T05:45:28.235788Z,1297,GajahDu69356383
1,2023-02-27T05:45:30.058849Z,1121,Negative,0,@anditaputrap @masbin10108833 @OposisiCerdas NGAPAIN NAMPAKIN MENTAL DI SOSMED, MENTAL SOSMED KAH? MODAL KETIKAN IB… https://t.co/q5ZdEUtpG7,0,97,1.068,2023-02-27T05:45:30.058849Z,1298,GajahDu69356383
1,2023-02-27T05:45:31.957555Z,1122,Neutral,0,@anditaputrap @masbin10108833 @OposisiCerdas KEPO KALI SIPALING TUA 🤓,0,98,1.239,2023-02-27T05:45:31.957555Z,1299,GajahDu69356383
1,2023-02-27T05:45:35.428317Z,1123,Negative,0,@RezaftYoona @txtdrimedia Mending bantuan nya di ksih ke yayasan yatim piatu lebih bermanfaat. https://t.co/nVLXtjqX8r,0,99,1.208,2023-02-27T05:45:35.428317Z,1300,GajahDu69356383
1,2023-02-27T05:45:37.641939Z,1124,Negative,0,@Askrlfess Kpop tolol,0,100,1.226,2023-02-27T05:45:37.641939Z,1301,GajahDu69356383
1,2023-02-27T05:45:38.757357Z,1125,Negative,0,@RezaftYoona @txtdrimedia Upsss https://t.co/lCySmfKxdg,0,101,0.729,2023-02-27T05:45:38.757357Z,1302,GajahDu69356383
1,2023-02-27T05:45:39.711589Z,1126,Negative,0,@anditaputrap @masbin10108833 @OposisiCerdas TOLOL, BLOK GOBLOK,0,102,0.589,2023-02-27T05:45:39.711589Z,1303,GajahDu69356383
1,2023-02-27T05:45:41.321544Z,1127,Negative,0,@RezaftYoona @txtdrimedia Fakta kok, bantuan dari non muslim semuanya di tolak. N bhkan banyak pungli. Mau blang ap… https://t.co/wpETheAUyz,0,103,1.271,2023-02-27T05:45:41.321544Z,1304,GajahDu69356383
1,2023-02-27T05:45:42.835769Z,1128,Neutral,0,@convomfs Klau ga good looking ga bakal kyak gni🤣
Woman☕,0,104,1.097,2023-02-27T05:45:42.835769Z,1305,GajahDu69356383
1,2023-02-27T05:45:44.204994Z,1129,Neutral,0,@mlbbfess Ga bang, buat genius wand aja☺,0,105,0.977,2023-02-27T05:45:44.204994Z,1306,GajahDu69356383
1,2023-02-27T05:45:45.251526Z,1130,Neutral,0,@afafia_ @tanyarlfes Gw yakin ada. Yakali semesta luas gni gaada kehidupan lain,0,106,0.673,2023-02-27T05:45:45.251526Z,1307,GajahDu69356383
1,2023-02-27T05:45:46.501549Z,1131,Negative,0,@tanyarlfes https://t.co/e36nUhBTmi,0,107,0.898,2023-02-27T05:45:46.501549Z,1308,GajahDu69356383
1,2023-02-27T05:45:47.881652Z,1132,Neutral,0,@yourcandycaine @sbyfess Mbak ini yg jdi cosplayer ivanna itu ya, yg di sby,0,108,1.02,2023-02-27T05:45:47.881652Z,1309,GajahDu69356383
1,2023-02-27T05:45:52.683214Z,1133,Negative,0,@dna_d_destroyer @idextratime LU BUTA APA EMANG GA PUNYA MATA?,0,109,4.491,2023-02-27T05:45:52.683214Z,1310,GajahDu69356383
1,2023-02-27T05:45:56.088836Z,1134,Neutral,0,@txtdrimedia Msih mending dibantuin, ga dibantuin klean semua hanya bisa nelen ludah klean sendiri.,0,110,2.994,2023-02-27T05:45:56.088836Z,1311,GajahDu69356383
1,2023-02-27T05:45:57.648811Z,1135,Negative,0,@oioilan @txtdrimedia Lu aja yg ngasih gausah banyak bacot kontol. Msih mending di bantuin blok goblok. Bisanya nge… https://t.co/nle0F8YvX9,1,111,0.934,2023-02-27T05:45:57.648811Z,1312,GajahDu69356383
1,2023-02-27T05:45:58.661551Z,1136,Negative,14005,RT @neohistoria_id: https://t.co/c2Fk9nMVRO,0,112,0.603,2023-02-27T05:45:58.661551Z,1313,GajahDu69356383
1,2023-02-27T05:46:05.440813Z,1137,Neutral,0,@sbyfess Owlah SBY toh, ga kaget🤣,0,113,6.41,2023-02-27T05:46:05.440813Z,1314,GajahDu69356383
1,2023-02-27T05:46:06.713851Z,1138,Negative,8539,RT @kochengfs: 🐈 Kalian harus banget liat ini 😭😭😭😂 ngikngok banget wkwkwk https://t.co/RWfeaSXisu,0,114,0.886,2023-02-27T05:46:06.713851Z,1315,GajahDu69356383
1,2023-02-27T05:46:10.644599Z,1139,Neutral,0,@tanyarlfes Yg kek gni biasanya WA nya dibuat selingkuh 🤣🤣🤣dan klau meet apk WA nya di sembunyikan. Wkwkwk dah ngalamin kek gni mah.,0,115,3.564,2023-02-27T05:46:10.644599Z,1316,GajahDu69356383
1,2023-02-27T05:46:13.712188Z,1140,Neutral,0,@tanyarlfes Ahh gamungkin 🤣🤣🤣,0,116,2.713,2023-02-27T05:46:13.712188Z,1317,GajahDu69356383
1,2023-02-27T05:46:18.562105Z,1141,Neutral,0,@tanyarlfes Maybe 2 jt, trus sisa 3 jt lalu lu tabungin setengah nya.,0,117,2.599,2023-02-27T05:46:15.790467Z,1318,GajahDu69356383
1,2023-02-27T05:46:23.036327Z,1142,Neutral,0,@inxsbnm @tanyarlfes Dan berarti diri lu ada 3 dong😦,0,118,1.613,2023-02-27T05:46:23.036327Z,1319,GajahDu69356383
1,2023-02-27T05:46:24.355663Z,1143,Negative,0,@iniicusbukan @Rifxsyndrome @tanyarlfes Klau misal, film yg ko cari gaada di situ bisa mampir ke link ini lk21 https://t.co/ulFwAh79k3,1,119,0.974,2023-02-27T05:46:24.355663Z,1320,GajahDu69356383
1,2023-02-27T05:46:44.418798Z,1144,Neutral,0,@iniicusbukan @Rifxsyndrome @tanyarlfes Sama2,0,120,19.7,2023-02-27T05:46:44.418798Z,1321,GajahDu69356383
1,2023-02-27T05:46:52.505403Z,1145,Neutral,0,@brionitallis @tanyarlfes Terima tengkyu 😁,0,121,7.494,2023-02-27T05:46:52.505403Z,1322,GajahDu69356383
1,2023-02-27T05:46:53.963683Z,1146,Neutral,0,@iniicusbukan @Rifxsyndrome @tanyarlfes Bstation. Gtu,0,122,0.991,2023-02-27T05:46:53.963683Z,1323,GajahDu69356383
1,2023-02-27T05:46:56.024493Z,1147,Neutral,0,@iniicusbukan @Rifxsyndrome @tanyarlfes Yap, bner banget. Download aja di PlayStore,0,123,1.692,2023-02-27T05:46:56.024493Z,1324,GajahDu69356383
1,2023-02-27T05:46:59.728633Z,1148,Neutral,275,RT @oktavianxx: @bertanyarl Aku td pagi hbs diceritain sama adek aku ttg pengalaman kaya gini. Jadi waktu itu di sekolah dia tuh mau jajan…,0,124,3.353,2023-02-27T05:46:59.728633Z,1325,GajahDu69356383
1,2023-02-27T05:49:19.428374Z,1149,Neutral,0,@brionitallis @tanyarlfes Film ttg apa,0,125,139.255,2023-02-27T05:49:19.428374Z,1326,GajahDu69356383
1,2023-02-27T05:49:23.763643Z,1150,Neutral,0,@iniicusbukan @Rifxsyndrome @tanyarlfes Di bstation free,0,126,3.901,2023-02-27T05:49:23.763643Z,1327,GajahDu69356383
1,2023-02-27T05:49:25.136657Z,1151,Neutral,0,@renrstuvv @noonahypen @Rezekyku @tanyarlfes Kan udh slesai njirr, apanya yg di lanjut😏,0,127,1.005,2023-02-27T05:49:25.136657Z,1328,GajahDu69356383
1,2023-02-27T05:49:31.353481Z,1152,Neutral,0,@inxsbnm @tanyarlfes Kejadian kek gtu, bikin paradoks ga sih.,0,128,5.828,2023-02-27T05:49:31.353481Z,1329,GajahDu69356383
1,2023-02-27T05:49:35.996466Z,1153,Neutral,0,@inxsbnm @tanyarlfes Berarti lu kmrin nolongin diri lu versi kecil.,3,129,4.286,2023-02-27T05:49:35.996466Z,1330,GajahDu69356383
1,2023-02-27T05:50:24.991800Z,1154,Neutral,6,RT @miekuahhhhh: @tanyarlfes Pernah nonton mirip kayak gini. Dia pulang ke rumah,liat ada neneknya yg udah meninggal. Si nenek gak kenal si…,0,130,48.67,2023-02-27T05:50:24.991800Z,1331,GajahDu69356383
